Year,Extraversion,Number of Textees,Hours of Sleep,Handedness,Pant Leg,Sleep Position,Pets
Rising second,5.0,5.0,9.0,Right-handed,I don't know,On your right side,None
Rising second,5.0,5.0,8.0,Left-handed,Left leg in first,On your stomach,"Dog, Fish"
Rising fifth or above,7.0,4.0,7.0,Right-handed,Right leg in first,On your stomach,None
Rising third,6.0,8.0,6.0,Left-handed,Right leg in first,On your left side,"Cat, Siblings"
Rising fourth,6.0,3.0,8.0,Right-handed,I don't know,On your right side,"Turtle, Chicken & Ducks"
Rising second,4.0,3.0,8.0,Right-handed,I don't know,On your right side,Cat
Rising second,8.0,20.0,7.0,Right-handed,I don't know,On your left side,None
Rising third,4.0,4.0,8.0,Right-handed,Right leg in first,On your back,None
Rising fourth,7.0,3.0,6.5,Right-handed,Right leg in first,On your left side,"Cat, Dog"
Rising second,3.0,5.0,7.0,Right-handed,Left leg in first,On your right side,Dog
Rising second,8.0,12.0,7.5,Right-handed,Right leg in first,On your back,Dog
Rising third,6.0,30.0,6.0,Right-handed,Right leg in first,On your back,None
Rising fifth or above,7.0,3.0,8.0,Right-handed,Left leg in first,On your stomach,Hamster or Guinea Pig
Rising second,3.0,3.0,8.0,Right-handed,Right leg in first,On your stomach,None
Incoming first,6.0,3.0,6.0,Right-handed,Right leg in first,On your stomach,Cat
Rising second,7.0,5.0,6.0,Right-handed,Right leg in first,On your back,None
Rising fourth,8.0,2.0,5.0,Right-handed,Right leg in first,On your back,Dog
Not an undergrad,5.0,12.0,5.0,Right-handed,Right leg in first,On your right side,None
Rising second,1.0,2.0,7.0,Right-handed,Right leg in first,On your left side,None
Not an undergrad,7.0,3.0,8.0,Right-handed,Right leg in first,On your left side,None
Rising fifth or above,6.0,2.0,5.0,Right-handed,I don't know,On your right side,"Cat, Dog"
Incoming first,3.0,7.0,8.0,Right-handed,Left leg in first,On your right side,None
Not an undergrad,8.0,5.0,6.0,Right-handed,I don't know,On your back,Cat
Rising third,5.0,1.0,6.0,Right-handed,Right leg in first,On your back,wife
Rising third,7.0,5.0,5.0,Right-handed,Left leg in first,On your stomach,"Dog, Turtle"
Rising third,4.0,5.0,8.0,Right-handed,Left leg in first,On your right side,Fish
Rising fifth or above,2.0,2.0,7.0,Right-handed,Right leg in first,On your back,None
Rising second,7.0,5.0,8.0,Right-handed,Right leg in first,On your right side,None
Rising second,6.0,5.0,8.0,Right-handed,Right leg in first,On your back,None
Rising fifth or above,5.0,1.0,7.0,Right-handed,Right leg in first,On your right side,"Cat, Dog, Fish"
Rising second,4.0,3.0,8.0,Right-handed,Right leg in first,On your right side,None
Rising fourth,4.0,2.0,8.0,Left-handed,I don't know,On your back,None
Rising second,5.0,2.0,8.0,Right-handed,Right leg in first,On your left side,Dog
Rising fifth or above,4.0,10.0,10.0,Right-handed,Left leg in first,On your back,None
Rising second,7.0,7.0,7.0,Left-handed,Left leg in first,On your back,Cat
Rising fifth or above,5.0,5.0,7.0,Right-handed,Right leg in first,On your left side,"Dog, Rabbit"
Rising second,6.0,5.0,9.0,Right-handed,Right leg in first,On your left side,Dog
Rising fourth,3.0,1.0,7.0,Right-handed,Left leg in first,On your left side,"Cat, Dog"
Rising third,5.0,2.0,7.0,Right-handed,Right leg in first,On your back,"Cat, Fish"
Rising third,5.0,5.0,6.0,Right-handed,Right leg in first,On your left side,"Dog, Fish"
Rising second,4.0,3.0,8.0,Right-handed,Left leg in first,On your left side,None
Rising second,5.0,1.0,7.0,Right-handed,Right leg in first,On your back,None
Rising fourth,3.0,3.0,5.0,Right-handed,Right leg in first,On your left side,None
Incoming first,6.0,2.0,6.5,Left-handed,Right leg in first,On your back,None
Rising fifth or above,3.0,8.0,8.0,Right-handed,Right leg in first,On your back,Dog
Rising third,7.0,2.0,7.0,Right-handed,Right leg in first,On your stomach,Dog
Rising fourth,5.0,1.0,7.0,Right-handed,Right leg in first,On your stomach,Cat
Rising third,3.0,3.0,6.0,Right-handed,Right leg in first,On your right side,None
Rising third,7.0,8.0,5.0,Right-handed,Right leg in first,On your back,None
